X,Y,OBJECTID,id,airport_ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,description,frequency_mhz,runway_length_ft,runway_width_ft,runway_surface,runway_lighted,runway_closed
-10936789.314,3586593.7962,69857,508366,US-7595,closed,Sudduth Airport,30.64394,-98.24685,1117,NA,US,US-TX,Marble Falls,no,,,,,,,,,,,,,
-8181537.5399,4975448.3556,69858,38690,US-BPA,closed,Grumman Bethpage Airport,40.7494010925,-73.4960021973,115,NA,US,US-NY,Bethpage,no,,,,,,"BPA, BPA",,,,,,,
-13311821.9309,4256279.3915,69859,16595,US-CA64,closed,Gilbreath Bros Duck Club Airport,35.677086,-119.582131,220,NA,US,US-CA,Wasco,no,,,,,,CA64,,,,,,,
-10160772.3495,3549345.2917,69860,21470,US-LA03,closed,Daniel Airport,30.355631,-91.275771,18,NA,US,US-LA,Addis,no,,,,,,LA03,,,,,,,
7449599.8435,11484181.7861,69861,44854,USDH,closed,Kharasavey Airport,71.238106,66.920894,,EU,RU,RU-TYU,Kharasavey,no,,,,,,"Аэропорт Харасавей, Аэропорт Харасавэй, USDH",,,,,,,
8556126.1573,10779695.4323,69862,43664,USDI,small_airport,Antipayuta Airport,69.092869,76.860989,69,EU,RU,RU-YAN,Antipayuta,no,USDI,,,,,"УСДИ, Аэропорт Антипаюта",,,,,,,
8192750.8416,10587398.2994,69863,32551,USDK,small_airport,Mys Kamenny Airport,68.467676,73.596733,98,EU,RU,RU-YAN,Mys Kamennyi,no,USDK,YMK,,,,Аэропорт Мыс Каменный,,,,,,,
7396289.7568,10063938.0723,69864,44848,USDL,heliport,Labytnangi Heliport,66.6744995117188,66.4420013427734,,EU,RU,RU-YAN,Labytnangi,no,USDL,,,,,Вертодром Лабытнанги,,,,,,,
9133863.1826,9346668.8261,69865,44669,USDO,small_airport,Tolka Airport,63.987808,82.050889,92,EU,RU,RU-YAN,Tolka,yes,USDO,,,,,Аэропорт Толька,,,,,,,
9178848.6134,9799817.9759,69866,45048,USDP,small_airport,Krasnoselkup Airport,65.717,82.455,101,EU,RU,RU-YAN,Krasnoselkup,no,USDP,KKQ,,,,Аэропорт Красноселькуп,,,,,,,
7886697.1599,10114450.7753,69867,43339,USDR,small_airport,Yar-Sale Airport,66.853517,70.847406,33,EU,RU,RU-YAN,Yar-Sale,no,USDR,,,,,"Yar-Salye Airport, Аэропорт Яр-Сале",,,,,,,
8661913.7374,9590084.7312,69868,32552,USDS,small_airport,Tarko-Sale Airport,64.930485,77.811295,82,EU,RU,RU-YAN,Tarko-Sale,no,USDS,TQL,,,,,,,,,,,
8754654.7844,10295400.9414,69869,32553,USDT,small_airport,Tazovsky Airport,67.4842,78.644402,92,EU,RU,RU-YAN,Tazovsky,no,USDT,,,,,,,,,,,,
8731566.5053,9865906.6444,69870,44860,USDU,small_airport,Urengoy Airport,65.9599990845,78.43699646,56,EU,RU,RU-YAN,Urengoy,no,USDU,UEN,,,,Аэропорт Уренгой,,,,,,,
6780726.219,9415354.2744,69871,310629,USHA,small_airport,Saranpaul' Airport,64.2571,60.9123,90,EU,RU,RU-KHM,Saranpaul',no,USHA,,,,,"УСХА, Саранпауль",,,,,,,
7239162.4042,9329731.6601,69872,43693,USHB,medium_airport,Berezovo Airport,63.9210014343262,65.0305023193359,98,AS,RU,RU-KHM,,no,USHB,EZV,,,,"Beryozovo Airport, Аэропорт Березово, Аэропорт Берёзово",,,,,,,
7173443.1262,9149556.748,69873,43688,USHI,small_airport,Igrim Airport,63.200391,64.440136,79,EU,RU,RU-KHM,,no,USHI,IRM,,,,Аэропорт Игрим,,,,,,,
7506278.394,8323342.9843,69874,42942,USHK,small_airport,Kondinskoye Airport,59.6550827026367,67.430046081543,131,AS,RU,RU-KHM,Kondinskoye,no,USHK,,,,https://en.wikipedia.org/wiki/Kondinskoye_Airport,Аэропорт Кондинское,,,,,,,
7328496.0578,8338544.0095,69875,44617,USHL,small_airport,Lugovoy Airport,59.7239990234375,65.8330001831055,,AS,RU,RU-KHM,Lugovoy,yes,USHL,,,,,Аэропорт Луговой,,,,,,,
8608214.1056,8896847.77,69876,32197,USNR,closed,Raduzhny Airport,62.1586,77.328903,250,EU,RU,RU-KHM,Raduzhnyi,no,,,,,https://en.wikipedia.org/wiki/Raduzhny_Airport,"RAT, USNR",,,,,,,
16182625.6961,-616286.363200001,69877,316934,USO,closed,Usino Airport,-5.5276,145.371,430,OC,PG,PG-MPM,Usino,no,,,,,,"Usini, USO",,,,,,,
6255598.7851,7957177.6303,69878,34943,USPB,closed,Bakharevka Airport,57.951698,56.195,564,AS,RU,RU-PER,Perm,no,,,,,https://en.wikipedia.org/wiki/Bakharevka_Airport,"Аэропорт Бахаревка, USPB",,,,,,,
7924945.8691,8922253.8075,69879,315317,USRA,small_airport,Ay-Pim Airport,62.265,71.191,258,EU,RU,RU-KHM,Ay-Pim,no,USRA,,USRA,,,"УСРА, Ай-Пим Аэродромы",,,,,,,
6687518.4943,8467208.9878,69880,42984,USSE,closed,Severouralsk Airport,60.3016662597656,60.0750007629395,604,AS,RU,RU-SVE,Severouralsk,no,,,,,https://en.wikipedia.org/wiki/Severouralsk_Airport,"Аэропорт Североуральск, USSE",,,,,,,
6873789.7586,7939662.0284,69881,315324,USSQ,small_airport,Alapayevsk Airfield,57.868108,61.748304,420,EU,RU,RU-SVE,Alapayevsk,no,USSQ,,USSQ,,,"УССЯ, Алапаевск, Alapaevsk",,,,,,,
7176959.2636,7346018.7606,69882,44868,USUK,closed,Kurtamysh Airfield,54.918263,64.471722,,AS,RU,RU-KGN,Kurtamysh,no,,,,,,"Аэропорт Куртамыш, USUK",,,,,,,
-12363921.9953,4591992.3074,69883,25245,UT02,closed,Sandy Ranch Airport,38.088902,-111.067001,5468,NA,US,US-UT,Torrey,no,,,,,,"UT02, UT02",,,,,,,
-12213957.498,4716840.6178,69884,25249,UT06,closed,Rogers Roost Airport,38.966266,-109.719847,5100,NA,US,US-UT,Thompson Springs,no,,,,,,UT06,,,,,,,
-12450751.0868,4976021.2877,69885,25261,UT18,closed,U S Forest Service Heliport,40.7533,-111.847,4800,NA,US,US-UT,Salt Lake City,no,,,,,,UT18,,,,,,,
-12462773.8144,4972949.9044,69886,25263,UT20,closed,Channel 4 Heliport,40.732396,-111.955002,4235,NA,US,US-UT,Salt Lake City,no,,,,,,UT20,,,,,,,
-12602368.2332,4474164.7826,69887,25270,UT27,closed,Hurricane Mesa Airport,37.251099,-113.209,5105,NA,US,US-UT,Hurricane,no,,,,,,UT27,,,,,,,
-12543020.1391,4476792.3378,69888,25280,UT37,closed,Carmel Mountain Ranch Airport,37.269885,-112.675867,5590,NA,US,US-UT,Orderville,no,,,,,,UT37,,,,,,,
-12480695.6958,5026851.8691,69889,25283,UT40,closed,Payne Field,41.098301,-112.115997,4228,NA,US,US-UT,Syracuse,no,,,,,,UT40,,,,,,,
-12478803.4871,5034521.4365,69890,25291,UT48,closed,LBL Farms Airport,41.1502,-112.098999,4260,NA,US,US-UT,Clinton,no,,,,,,UT48,,,,,,,
-12533684.4414,4660619.2691,69891,25300,UT57,closed,Sulphurdale Airport,38.572498,-112.592003,6060,NA,US,US-UT,Beaver,no,,,,,,UT57,,,,,,,
-12445630.6687,4953504.8216,69892,25309,UT66,heliport,Ward Heliport,40.5998992919922,-111.801002502441,5000,NA,US,US-UT,Sandy,no,UT66,,UT66,,,,,,,,,,
7665983.3729,4560570.0028,69893,32556,UTDT,medium_airport,Qurghonteppa International Airport,37.8664016723633,68.8647003173828,1473,AS,TJ,TJ-KT,Kurgan-Tyube,yes,UTDT,KQT,,,https://en.wikipedia.org/wiki/Qurghonteppa_International_Airport,Kurgan-Tube,,,,,,,
7902475.3619,4931140.082,69894,41794,UTKK,small_airport,Kokand Airport,40.447183,70.989144,1357,AS,UZ,UZ-FA,Kokand,no,UTKK,,,,,Kokand South,,,,,,,
7431509.7583,4731417.1052,69895,41812,UTSH,small_airport,Shahrisabz Airport,39.068003,66.758388,1900,AS,UZ,UZ-QA,Shahrisabz,no,UTSH,,,,,,,,,,,,
7191506.4649,5125214.2903,69896,41821,UTSM,small_airport,Tandy Bulak Airport,41.7607917785645,64.6024017333984,716,AS,UZ,UZ-NW,Tandy Bulak,no,UTSM,,,,,,,,,,,,
4236819.263,7482541.8152,69897,30762,UUBB,small_airport,Bykovo Airport,55.616979,38.059995,427,EU,RU,RU-MOS,Moscow,no,UUBB,,,,https://en.wikipedia.org/wiki/Bykovo_Airport,"BKA, УУББ, Аэропорт Быково",,,,,,,
4228470.9257,7471318.3958,69898,42966,UUBM,medium_airport,Myachkovo Airport,55.5600013733,37.9850006104,410,EU,RU,RU-MOS,Moscow,no,UUBM,,,http://www.miachkovo.com/,https://en.wikipedia.org/wiki/Myachkovo_Airport,Аэропорт Мячково,,,,,,,
5071099.9585,8050116.9359,69899,335153,UUBQ,small_airport,Sharya Airport,58.391989,45.554466,120,EU,RU,RU-KOS,,yes,UUBQ,,,,,,,,,,,,
4357683.0643,7387095.1981,69900,325060,UUMD,small_airport,Selnikovo Airfield,55.129783,39.145733,351,EU,RU,RU-MOS,Selnikovo,no,UUMD,,,,,"УУМД, Сельниково",,,,,,,
4305743.171,7402068.2075,69901,44920,UUML,small_airport,Severka Airfield,55.206608,38.679149,433,EU,RU,RU-MOS,Voskresensk,no,UUML,,,http://www.aviaseverka.ru/,,Аэродром Северка,,,,,,,
4383821.8715,7336755.5967,69902,325055,UUMQ,closed,Gan'kino Airfield,54.8704087,39.3805418999,,EU,RU,RU-MOS,,no,,,,,,"UUMQ, UUMQ",,,,,,,
4040029.2238,6567431.1886,69903,342078,UUOP,small_airport,Tomarovka Aerodrome,50.6945,36.2922,656,EU,RU,RU-BEL,Pushkarnoye,no,,,XUOP,,,"Томаровка, ЬУОП",,,,,,,
6320831.8097,10217009.2283,69904,44421,UURH,heliport,Haryaginskiy Heliport,67.2129974365234,56.7809982299805,,EU,RU,RU-KO,Haryaginskiy,no,UURH,,,,,"Haryaginsky Heliport, Аэропорт Харьягинский",,,,,,,
4069782.8086,7669411.9765,69905,336167,UUTZ,small_airport,Zavidovo Air Park (U.C.),56.553558,36.559481,1562,EU,RU,RU-TVE,Shetakovo,no,UUTZ,,,http://www.zavidovoairpark.com/infrastructure,,,,,,,,,
16427806.8746,-1014429.882,69906,315021,UUU,small_airport,Manumu Airport,-9.0746,147.5735,1800,OC,PG,PG-CPM,Manumu,no,,UUU,MMU,,,,,,,,,,
4166317.4012,7522335.5695,69907,42910,UUUS,closed,Tushino Airport,55.818333,37.426666,420,EU,RU,RU-MOW,Moscow,no,,,,,https://en.wikipedia.org/wiki/Tushino_Airport,"UUUS, UUUS",,,,,,,
4034728.5236,7366494.1521,69908,352883,UUWK,small_airport,Kudinovo Airfield,55.023839,36.244583,600,EU,RU,RU-KLU,Kudinovo,no,UUWK,,,http://www.uuwk.ru/,,Кудиново,,,,,,,
6690945.4912,9891468.5486,69909,42946,UUYI,medium_airport,Inta Airport,66.053372,60.105786,184,EU,RU,RU-KO,Inta,no,UUYI,INA,,,https://en.wikipedia.org/wiki/Inta_Airport,Аэропорт Инта,,,,,,,
5668967.4902,9004141.4485,69910,43682,UUYM,small_airport,Yemva Airport,62.6054000854,50.925201416,,EU,RU,RU-KO,Emva,no,UUYM,,,,,"Emva Airport, Аэропорт Емва",,,,,,,
5978969.7485,8786007.4554,69911,44858,UUYT,small_airport,Ust-Kulom Airport,61.689998626709,53.7099990844727,,EU,RU,RU-KO,Ust-Kulom,no,UUYT,,,,,Аэропорт Усть-Кулом,,,,,,,
5044442.5725,7365748.7621,69912,44901,UWGB,small_airport,Bolshoye Boldino Airport,55.0200004577637,45.314998626709,,EU,RU,RU-ARK,Bolshoye Boldino,no,UWGB,,,,,"Bolshoe Boldino Airport, Аэропорт Большое Болдино",,,,,,,
5634545.7875,7421442.8981,69913,42986,UWKI,closed,Chistopol Airport,55.305798,50.615986,604,AS,RU,RU-TA,Chistopol,no,,,,,https://en.wikipedia.org/wiki/Chistopol_Airport,UWKI,,,,,,,
5332726.9479,7699168.461,69914,31707,UWKJ,medium_airport,Yoshkar-Ola Airport,56.7005996704102,47.9047012329102,348,EU,RU,RU-ME,Yoshkar-Ola,yes,UWKJ,JOK,,,https://en.wikipedia.org/wiki/Yoshkar-Ola_Airport,Аэропорт Йошкар-Ола,,,,,,,
13732483.7105,10098322.8939,69915,43684,UWKV,medium_airport,Zhigansk Airport,66.7965011597,123.361000061,292,AS,RU,RU-SA,Zhigansk,yes,UEVV,ZIX,,,https://en.wikipedia.org/wiki/Zhigansk_Airport,"УЕЖЖ, Аэропорт Жиганск",,,,,,,
5459107.9305,7530397.8263,69916,43881,UWKW,heliport,Yudino Heliport,55.859001159668,49.0400009155273,,EU,RU,RU-TA,Kazan,no,UWKW,,,http://kazanhelicopters.com/,,"Kazan Helicopter Works, Юдино, Казанский Вертолетный завод",,,,,,,
6672118.2484,6710091.0475,69917,310608,UWOD,small_airport,Adamovka Airport,51.499284,59.936658,,AS,RU,RU-ORE,Adamovka,no,UWOD,,,,,,,,,,,,
6644275.4627,6814204.3917,69918,310609,UWOH,small_airport,Kvarkeno Airport,52.077797,59.686542,,AS,RU,RU-ORE,Kvarkeno,yes,UWOH,,,,,,,,,,,,
6779620.4825,6586118.989,69919,335161,UWOS,small_airport,Svetlyy Airport,50.800721,60.902367,978,AS,RU,RU-ORE,,yes,UWOS,,,,,,,,,,,,
5226439.0721,6613418.5374,69920,44315,UWSK,small_airport,Krasny Kut Airport,50.955458,46.949901,177,EU,RU,RU-SAR,Krasny Kut,no,UWSK,,,http://www.kluga.ru/,,Аэропорт Красный Кут,,,,,,,
5490448.7179,7467124.6765,69921,351649,UWTK,small_airport,Karaishevo Airfield,55.53869,49.32154,185,EU,RU,RU-TA,Karaishevo,no,UWTK,,,,,,,,,,,,
6536101.8607,6925385.6197,69922,42920,UWUA,heliport,Sibay Airport,52.687412,58.714802,1309,AS,RU,RU-BA,Sibay,no,UWUA,,,,https://en.wikipedia.org/wiki/Sibay_Airport,"УВУА, Сибай",,,,,,,
6049902.4074,7579725.722,69923,32019,UWUF,closed,Neftekamsk Airport,56.106899,54.347198,456,AS,RU,RU-BA,Neftekamsk,no,,,,,https://en.wikipedia.org/wiki/Neftekamsk_Airport,"УВУФ, Нефтекамск, UWUF, NEF",,,,,,,
6252626.666,7328942.6244,69924,42921,UWUM,closed,Maksimovka Airport,54.830002,56.168301,325,AS,RU,RU-BA,Ufa,no,,,,,https://en.wikipedia.org/wiki/Ufa_Maximovka_Airport,"Maximovka Airport, Аэропорт Максимовка, UWUM",,,,,,,
6018788.8324,7498430.641,69925,315322,UWUZ,small_airport,Aktanysh Airport,55.6975,54.0677,378,EU,RU,RU-TA,Aktanysh,no,UWUZ,,UWUZ,,,"УВУЗ, Актаныш",,,,,,,
5509370.797,7112809.4485,69926,46254,UWWE,small_airport,Verkhneye Sancheleyevo Airfield,53.6960966684,49.491519928,246,EU,RU,RU-SAM,Tolyatti,no,UWWE,,,http://www.aviatlt.ru/,,"Verkhnee Sancheleevo Airfield, Аэродром Верхнее Санчелеево, УВВЕ",,,,,,,
